starttime,time,duration,name,ip,song1,song2,favsong,comment
2014-01-16 19:52:44 UTC,2014-01-16 20:07:37 UTC,893.3834209,Shawn Hershey,204.9.220.42,BornLoverOutputStereoOut.mp3,ItsalrightwithmeOutputStereoOut.mp3,ItsalrightwithmeOutputStereoOut.mp3,5:42 is awfully long. I don't like my solo on Born Lover but everything else is good on that tune.
2014-01-16 20:07:37 UTC,2014-01-16 20:15:04 UTC,447.940665,Shawn Hershey,204.9.220.42,CenterpieceOutputStereoOut.mp3,15SaintJamesSweetMo.mp3,15SaintJamesSweetMo.mp3,
2014-01-16 20:06:30 UTC,2014-01-16 20:15:37 UTC,547.881839,Kevin,50.138.183.238,GetonWithItOutputStereoOut.mp3,01TexasMoanerBlues.mp3,01TexasMoanerBlues.mp3,
2014-01-16 20:15:05 UTC,2014-01-16 20:16:31 UTC,86.59119415,Shawn Hershey,204.9.220.42,JoshandMattDuoOutputStereoOut.mp3,PelicanDragOutputStereoOut.mp3,JoshandMattDuoOutputStereoOut.mp3,I love both of these! They are both long!
2014-01-16 20:05:09 UTC,2014-01-16 20:16:58 UTC,709.233959,,64.47.206.34,AllOfMeOutputStereoOut.mp3,DoYouKnowWhatitMeansOutputStereoOut.mp3,DoYouKnowWhatitMeansOutputStereoOut.mp3,
2014-01-16 20:16:31 UTC,2014-01-16 20:22:46 UTC,375.1572638,Shawn Hershey,204.9.220.42,ComesLoveOutputStereoOut.mp3,ItsalrightwithmeOutputStereoOut.mp3,ComesLoveOutputStereoOut.mp3,Comes Love is awfully cool but very long!
2014-01-16 20:22:46 UTC,2014-01-16 20:25:05 UTC,139.4503622,Shawn Hershey,204.9.220.42,WorkSongOutputStereoOut.mp3,18CloserWalkwithTheeSweetMo.mp3,18CloserWalkwithTheeSweetMo.mp3,Pretty great. But they're both good. This might be random. This is also too long. So many of our songs are too long!
2014-01-16 20:25:05 UTC,2014-01-16 20:25:20 UTC,15.77250409,Shawn Hershey,204.9.220.42,OneOfTheseMorningsOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,Good swing tune on the right
2014-01-16 20:23:23 UTC,2014-01-16 20:25:36 UTC,133.740798,,134.174.21.190,CenterpieceOutputStereoOut.mp3,13MessinwiththeKid.mp3,13MessinwiththeKid.mp3,
2014-01-16 20:25:20 UTC,2014-01-16 20:26:01 UTC,41.56302309,Shawn Hershey,204.9.220.42,02BlueDrag.mp3,GeeBabyAintIgoodtoYouOutputStereoOut.mp3,02BlueDrag.mp3,Weird singin. But cool too.
